NUTS0_CODE,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,NUTS_AREA
AT,F2900,"0",,"2642.21","8387.9"
AT,F2900,"0","0","2642.21","8387.9"
BE,F2900,"0","0","1355.86","3052.8"
BG,F2900,"0","0","5038.23","11037"
BG,F2900,"0","0.01","5038.23","11037"
CY,F2900,"0.47","1.51","126.15","925.1"
CZ,F2900,"0","0","3524.38","7886.8"
DE,F2900,"0","0","16636.98","35737.6"
DK,F2900,"0","0","2625.64","4292.4"
EE,F2900,"0","0","985.41","4522.7"
EL,F2900,"0","0","5199.68","13204.9"
ES,F2900,"33.94","601.94","24253.86","50594.4"
FI,F2900,"0","0","2271.18","33844"
FR,F2900,"4.53","43.36","29010.89","63318.66"
HR,F2900,"0","0","1493.86","5659.4"
HU,F2900,"0","0","5210.49","9301.1"
IE,F2900,"0","0","4475.59","6979.7"
IT,F2900,"4.92","0","13034.85","30207.3"
IT,F2900,"4.92","86.75","13034.85","30207.3"
LT,F2900,"0","0","2947.62","6528.6"
LU,F2900,"0","0","131.85","258.6"
LV,F2900,"0","0","1953.72","6457.3"
MT,F2900,"0","0","11.23","31.54"
NL,F2900,"0","0","1811.01","4154"
PL,F2900,"0","0","14572.84","31267.9"
PT,F2900,"3.13",,"3875.79","9222.6"
RO,F2900,"0","0","13348.99","23839.07"
SE,F2900,"0","0","3005","43857.4"
SI,F2900,"0.12","1.56","480.54","2027.3"
SK,F2900,"0","0","1902.42","4903.5"
