NUTS0_CODE;NUTS0_NAME;NUTS2_CODE;NUTS2_NAME;NUTS_LEVEL;CROP_CODE;AREA_AV;PROD_AV;UAA_AV;PRC_UAA_AV;NUTS_AREA;PRC_NUTS_AV
AT;Austria;AT;Austria;NUTS0;F4400;0;0;2642.21;0;8387.9;0
BE;Belgium;BE;Belgium;NUTS0;F4400;0;0;1355.86;0;3052.8;0
BG;Bulgaria;BG;Bulgaria;NUTS0;F4400;0;0;5038.23;0;11037;0
CY;Cyprus;CY;Cyprus;NUTS0;F4400;0;0;126.15;0;925.1;0
CZ;Czechia;CZ;Czechia;NUTS0;F4400;0;0;3524.38;0;7886.8;0
DE;Germany (until 1990 former territory of the FRG);DE;Germany (until 1990 former territory of the FRG);NUTS0;F4400;0;0;16636.98;0;35737.6;0
DK;Denmark;DK;Denmark;NUTS0;F4400;0;0;2625.64;0;4292.4;0
EE;Estonia;EE;Estonia;NUTS0;F4400;0;0;985.41;0;4522.7;0
EL;Greece;EL;Greece;NUTS0;F4400;9.24;33.44;5199.68;0.176;13204.9;0.07
ES;Spain;ES;Spain;NUTS0;F4400;37.25;181.26;24253.86;0.152;50594.4;0.072
FI;Finland;FI;Finland;NUTS0;F4400;0;0;2271.18;0;33844;0
FR;France;FR;France;NUTS0;F4400;8.5;8.09;29010.89;0.03;63318.66;0.01
HR;Croatia;HR;Croatia;NUTS0;F4400;0.19;0.05;1493.86;0.014;5659.4;0
HU;Hungary;HU;Hungary;NUTS0;F4400;0.29;0.2;5210.49;0.004;9301.1;0
IE;Ireland;IE;Ireland;NUTS0;F4400;0;0;4475.59;0;6979.7;0
IT;Italy;IT;Italy;NUTS0;F4400;35.77;40.54;13034.85;0.274;30207.3;0.118
LT;Lithuania;LT;Lithuania;NUTS0;F4400;0;0;2947.62;0;6528.6;0
LU;Luxembourg;LU;Luxembourg;NUTS0;F4400;0;0;131.85;0;258.6;0
LV;Latvia;LV;Latvia;NUTS0;F4400;0;0;1953.72;0;6457.3;0
MT;Malta;MT;Malta;NUTS0;F4400;0;0;11.23;0;31.54;0
NL;Netherlands;NL;Netherlands;NUTS0;F4400;0;0;1811.01;0;4154;0
PL;Poland;PL;Poland;NUTS0;F4400;0;0;14572.84;0;31267.9;0
PT;Portugal;PT;Portugal;NUTS0;F4400;46.37;37.44;3875.79;1.192;9222.6;0.504
RO;Romania;RO;Romania;NUTS0;F4400;0.01;0;13348.99;0;23839.07;0
RO;Romania;RO;Romania;NUTS0;F4400;0.01;0.04;13348.99;0;23839.07;0
SE;Sweden;SE;Sweden;NUTS0;F4400;0;0;3005;0;43857.4;0
SI;Slovenia;SI;Slovenia;NUTS0;F4400;0.04;0.13;480.54;0.008;2027.3;0
SK;Slovakia;SK;Slovakia;NUTS0;F4400;0;0;1902.42;0;4903.5;0
